OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_255	23	13	6	11	9	20	36	19	24	10	31	33	16	10	23	27	12	25
ASV_301	28	13	18	38	23	24	21	17	20	12	21	22	12	9	15	13	16	21
ASV_257	27	34	14	22	34	35	10	12	10	11	13	24	16	15	8	20	17	13
ASV_253	22	15	26	36	24	35	7	14	13	12	15	12	16	35	10	15	19	7
ASV_286	18	15	10	19	4	7	50	26	17	19	15	28	13	25	22	17	10	24
ASV_264	14	45	15	11	4	14	18	24	13	30	17	16	27	15	12	19	19	19
ASV_267	21	14	28	13	44	12	10	12	10	9	17	10	19	26	17	18	15	22
ASV_283	24	24	11	13	6	8	24	15	18	14	25	24	19	28	24	11	33	16
ASV_278	18	19	28	17	46	21	9	24	13	9	24	15	20	13	15	7	20	18
ASV_294	15	15	12	7	5	16	31	19	30	21	27	32	17	14	27	14	10	25
ASV_281	21	33	7	25	12	20	28	25	9	18	20	26	21	14	10	15	16	10
ASV_239	20	14	22	13	34	19	12	11	14	5	21	9	32	31	11	25	19	20
ASV_271	28	23	7	6	4	22	43	24	20	17	22	41	13	7	8	18	16	16
ASV_241	11	6	30	9	8	8	32	14	18	27	22	21	15	7	34	20	5	46
ASV_2086	20	24	12	15	20	21	19	17	10	12	22	13	26	18	15	20	19	17
ASV_269	28	6	31	21	24	12	6	9	4	24	23	18	12	16	18	26	21	15
ASV_306	19	17	32	10	17	25	24	17	10	17	9	11	10	8	44	25	4	25
ASV_324	20	6	22	19	12	30	8	6	24	14	16	22	34	20	11	15	28	10
ASV_280	22	17	20	35	18	16	26	16	13	16	14	14	12	14	14	19	13	20
ASV_262	23	22	12	8	8	34	16	13	4	13	16	35	9	21	20	13	10	39
ASV_300	8	19	42	11	12	14	15	30	17	19	10	17	18	10	23	20	8	14
ASV_393	18	8	12	32	25	20	14	7	30	17	20	8	8	19	14	24	13	15
ASV_1414	17	17	46	48	6	16	18	16	2	10	26	15	6	6	9	27	6	17
ASV_342	21	19	12	19	21	18	23	14	15	15	27	33	21	11	22	9	16	8
ASV_260	21	21	16	11	4	11	29	24	22	12	14	27	24	16	21	11	8	23
ASV_282	17	6	53	22	41	28	6	35	5	5	12	12	12	7	20	3	17	11
ASV_897	25	16	16	9	20	27	23	24	13	9	17	18	15	24	13	8	16	12
